TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ARZZ3;86.49;1.96;21.42;3.8;2.36;52.81;16.73;11.78;15.08;14.41;-0.68;-0.17;2.52;11.3;-4.96;1.66;17.75;11.01;18.91;0.62;0.38;0.94;18.73;30.72;84714143.89;22.75;4.04;0.01;9496274981.31
ASAI3;17.49;0.98;14.76;7.12;0.71;16.73;5.8;3.39;8.63;11.65;3.02;2.49;0.5;-41.08;-1.03;0.95;48.26;4.78;18.25;0.1;0.9;1.41;;;122966733.39;2.46;1.19;-3.52;23582338328.34
AURA33;28.62;9.41;6.17;1.24;0.57;34.14;20.97;14.78;4.35;4.32;-0.03;-0.01;0.91;1.82;-1.17;2.61;20.03;9.29;9.51;0.46;0.54;0.63;;;2912868.07;23.17;4.64;-0.13;2024649205.2
AURE3;14.1;0.71;536.08;1.1;0.5;28.7;30.66;1.46;25.48;28.48;3;0.13;7.81;5.94;-0.61;1.77;0.21;0.09;2.68;0.45;0.55;0.06;;;38371025.89;12.82;0.03;;14.100.000.000,00
AZEV3;3.05;;6.21;1.4;0.37;18.34;24.69;18.16;4.57;4.6;0.35;0.11;1.13;-21.12;-0.52;0.95;22.53;5.87;22.51;0.26;0.74;0.32;-8.87;;228519.14;2.18;0.49;-0.08;154.456.500,00
AZEV4;2.73;;5.56;1.25;0.33;18.34;24.69;18.16;4.09;4.6;0.35;0.11;1.01;-18.9;-0.47;0.95;22.53;5.87;22.51;0.26;0.74;0.32;-8.87;;701362.54;2.18;0.49;-0.07;154.456.500,00
AZUL4;14.62;;14.9;-1.18;1.04;17.86;1.33;10.94;122.52;165.32;131.61;;1.63;-2.73;-1.45;0.43;-7.93;6.97;2.48;-0.88;1.88;0.64;8.38;;133400640.11;-12.37;0.98;-0.13;5087453839.27
B3SA3;12.32;5.73;16.47;3.45;1.48;89.78;59.11;44.83;12.49;11.65;-0.85;-0.23;7.38;9.48;-2.43;1.67;20.92;8.99;11.6;0.43;0.57;0.2;34.69;25.83;441729511.75;3.58;0.75;4.03;75.139.680.000,00
BBAS3;40.02;7.65;5.62;0.77;0.06;31.08;16.23;13.82;4.79;4.79;;;0.78;2.91;-0.06;7.7;13.75;1.02;;0.07;0.92;0.07;-6.5;23.75;375369934.04;51.76;7.12;0.11;114673989140.4
BBDC3;15.88;3.79;6.97;1.08;0.1;33.47;18.36;15.32;5.81;6.4;;;1.07;2.03;-0.1;5.4;15.53;1.4;;0.09;0.91;0.09;-5.09;6.31;91854788.25;14.68;2.28;0.45;186440693979.45
BBDC4;19.11;3.47;8.38;1.3;0.12;33.47;18.36;15.32;6.99;6.4;;;1.28;2.45;-0.12;5.4;15.53;1.4;;0.09;0.91;0.09;-5.09;6.31;538982880.32;14.68;2.28;0.54;186440693979.45
BBSE3;29.55;4.91;12.34;7.61;4.31;;;;10.29;10.29;;;;54.72;-6.62;1.29;61.62;34.94;;0.57;0.43;0;;3.59;139831689.79;3.89;2.39;0.44;59.100.000.000,00
BEEF3;12.88;5.37;17.23;11.96;0.39;17.35;7.73;1.6;3.56;6.35;2.78;9.33;0.28;1.2;-1.24;1.9;69.39;2.26;13.65;0.03;0.97;1.41;22.82;18.43;74218175.64;1.08;0.75;-0.51;7821810282.16
BIDI11;10.4;0.43;-499.12;1.08;0.23;50.33;-5.35;-0.71;-66.25;-66.25;;;3.55;;-0.24;;-0.22;-0.05;;0.22;0.78;0.07;5.8;;189680308.83;9.67;-0.02;2.46;8991139764.53
BIDI3;3.4;0.43;-489.52;1.06;0.23;50.33;-5.35;-0.71;-64.98;-66.25;;;3.48;;-0.24;;-0.22;-0.05;;0.22;0.78;0.07;5.8;;9796295.5;3.22;-0.01;2.42;8991139764.53
BIDI4;3.41;0.43;-490.96;1.06;0.23;50.33;-5.35;-0.71;-65.17;-66.25;;;3.49;;-0.24;;-0.22;-0.05;;0.22;0.78;0.07;5.8;;44223197.08;3.22;-0.01;2.42;8991139764.53
BKBR3;8.12;;-15.66;1.46;0.6;63.43;-1.58;-4.77;-47.23;-56.06;-8.83;0.27;0.75;-73.66;-0.75;0.96;-9.31;-3.83;-2.37;0.41;0.59;0.8;14.59;;15223985.68;5.57;-0.52;0.21;2235886229.64
BLAU3;30;2.45;17.17;3.13;2.26;46.63;30.66;23.25;13.02;11.85;-1.17;-0.28;3.99;4.14;-7.81;4.3;18.21;13.15;14.01;0.72;0.28;0.57;;;15645108.39;9.59;1.75;-2.69;5.381.818.170,00
BMGB4;2.7;11.69;8.05;0.42;0.05;29.5;-0.51;3.95;-62.3;-62.3;;;0.32;;-0.05;;5.2;0.57;;0.11;0.89;0.15;13.33;0.08;1363240.89;6.44;0.34;-0.22;1574727509.7
BMOB3;13.7;1.48;15.1;1.22;0.88;27.67;11.03;10.24;14.03;8.1;-5.93;-0.52;1.55;2.17;-2.45;2.77;8.08;5.86;5.04;0.73;0.27;0.57;;;4657703.14;11.23;0.91;0.33;1245454560.4
